"username--style37","u-dt","bbWrapper"
"kmwtrucks","Jul 2, 2024","I think maybe 75 pts. but still 5-8 worst. St louis is team that could regress pretty heavily imo. SJ is probably the worst team Followed by ANA then 3-8 is a coin flip in the 70's IMO"
"Bubba88","Jul 2, 2024","Bulls picked 1st overall and 2nd overall in addition to 6 other 1st round picks? 

They sucked because the Vets weren't good enough. 


Hawks will improve on the ice and get 15-20 more points. This will be bad enough for a Top 10 pick."
"statswatcher","Jul 2, 2024","kinda sucks if fate ends up such that this draft was the one to get a top ten and next draft is the one to get a top five and we freaked it."
"dj Mahoney","Jul 2, 2024","Seems like we are a season behind the Red Wings in the rebuild. Minus the needless signings and much better drafting for certain ."
"ClydeLee","Jul 2, 2024","Hopefully we wind up with some picks with higher potential than kasper/Danielson"
"AmericanDream","Jul 2, 2024","KD will make some deadline moves pretty much guaranteeing us a top 10 pick, but things could really click for a while but I will guess we finish in that 8-12 range for the draft dependent upon how soon KD starts making moves with our veterans, how healthy we remain, and how many kids step up this year earning roster spots."
"dj Mahoney","Jul 2, 2024","I really like most of the Wings 1st rd picks . The rest , not so much.Yzerman has had 6 drafts , Davidson 3. If we are still looking towards making the playoffs at that point I wont be so impressed,, YZERMAN the genius."
"TheFridge","Jul 2, 2024","Calgary had 29 more points than the Hawks last year. They haven't lost anyone significant from their roster save Markstrom, but they have Wolf in the pipeline ready to go and it's not like Markstrom was amazing for them last year."
"hockeydoug","Jul 2, 2024","They finished the year 5-10. They have a weaker roster than they started with last year, ownership is looking to sell a minority stake for cash, and the division isn't waiting for them to catch up. After struggling with the new coach and same roster, I think this Calgary thing is poised to go backwards a bit, just below where the Hawks will climb to. 

CGY may make several changes between now, and so could the Hawks."
"Drumman44","Jul 1, 2024","While the ink is barely dry on most of today's free agency contracts, there have been a lot of deals handed out. I'd like to start a thread to speculate how our beloved Blackhawks and our other compatriots at the bottom of the standings will fare next year.

As a reminder, here's how the bottom 5 teams drafted in June of 2024.


Taking a look at San Jose, Chicago, Anaheim, Columbus, and Montreal it seems that 3 out of the 5 have been pretty aggressive in both trades and free agency today, with Anaheim and Montreal not doing a whole lot, but how will that translate into success next season?


Additions:

Macklin Celebrini (Drafted, I'm assuming he jumps right into the NHL)
Tyler Toffoli (Free Agent)
Alexander Wennberg (Free Agent)
Jake Walman (Trade)
Ty Dellandrea (Trade)


Additions:

Ilya Mikheyev (Trade)
Patrick Maroon (Free Agent)
Teuvo Teravainen (Free Agent)
Craig Smith (Free Agent)
Tyler Bertuzzi (Free Agent)
Laurent Brossoit (Free Agent)
Alec Martinez (Free Agent)


Additions:

Maybe Cutter Gauthier makes the jump to the NHL full time? Other than that, it looks like more of the same


Additions:

Yegor Chinakhov (Free Agent)
Sean Monahan (Free Agent)


Additions:

Nothing that I can see recently.



I'm going to guess that San Jose and Chicago each take a pretty big step forward due to free agent acquisitions and trades while Anaheim, Columbus, and Montreal all have a bit of a better season next year due to further development of their younger players.

I am going to guess that ""a rising tide raises all boats"" and that generally speaking each of the five bottom feeder teams gets better without impacting the final seeding too much for next year.


That being said, am I missing out on my analysis? Is there another team that's ready to tear it down and take? Calgary?"
