"username--style37","u-dt","bbWrapper"
"scoringmachine","Aug 5, 2024","I always on Facebook and get thread about the Flames.

Normally it's about how the team is going to ruin Wolf or Pelttier(sp?) Needs to have a good season or he is gone. What are your opinions.

I feel Conroy is doing alright. The team will no do well this year, the reason too many newbies that need NHL experience and not enough good veterans to help them out. This will be a learning year so they can work to be a contending team. As teams with so many veterans will learn that in the end they"
"Mobiandi","Aug 5, 2024","Unprecedented amounts of suck. If we break 60 points, I’d be surprised"
"FLAMESFAN","Aug 6, 2024","It's not going to be pretty, but I'd rather it right outright suck than just be bad and miss the playoffs by a point.
And shame on any fan unwilling to stick thru the bad times...I was around in the haydays (no, not 2004) and stayed a fan thru the dark days. Just have to have a physical team, beat up a few guys - small victories.
It's going to be all about the future, and that is what this site was created for. Try checking out the Hlinka/Gretzky, U18's, WJC and get a glimpse of some of the great talent available in the next couple drafts. I'm pumped for that."
"DomBarr","Aug 6, 2024","my thoughts are by the end of this season the only player left from the 2021/22 NHL Roster will be Backlund."
"Kranix","Aug 6, 2024","nobody will be able to solve them on their march to the finals"
"","Aug 6, 2024","What's Facebook? 


This will not be a good season for the Flames in the standings. 

Success looks like the young guys progressing, maybe have someone like Zary take a full time centre role. This is likely to be overlooked by a casual fan who's only looking for wins."
"Roadrage","Aug 6, 2024","Enough points to finish bottom 5...so based on last season, no more then 76 points."
"Volica","Aug 6, 2024","This team will likely have a hard time breaking 70 points, probably lower than that... especially at the deadline when a bunch of vets are like ""I don't want to do this anymore.""

For the 'I don't cheer for losses' crowd. This is going to be a long ass season for you."
"SaintMorose","Aug 6, 2024","Still have both the Sharks and Ducks in our division, could see them propelling us past a a couple teams"
"Backlund","Aug 6, 2024","We're going to be terrible and we should be, but drafting Hagens is worth having to watch a shitty season."
"","Aug 6, 2024","I'm looking forward to the 2025, 2026, and 2027 drafts. With the right management, superb drafting, and a little bit of luck, the Flames organization can build a real cup contender."
"Yepthatsme","Aug 6, 2024","It’s an extremely weird group to say this about, but I think this season comes down to 3 players: Miromanov, Bahl, and Wolf.

The offense year over in theory should be much better. Last years Kuzmenko was a better producer than last years Lindholm. Last years Mantha was a much, much better producer (pre-trade) than Mangiapane, and in theory Coronato has more offensive potential than Pospisil. Zary’s a year older, and in 2024 Kadri was point per game + and Huberdeau started to regain some of his offense. It’s stopping goals that will be the problem, which is where those aforementioned 3 come in.

Miromanov gets slept on a lot here. He, like Kylington, missed over a year of hockey before coming back, and his first game with us was his 10th in any league since coming back. The Miromanov we saw last year likely wasn’t the Miromanov we see this year, and he wasn’t bad at all last year.

Bahl is interesting, because he has stretches where he would be a force but he struggled putting it all together. He’s still young for a defenseman, and players with his size profile usually take longer to develop. Our organization and especially Huska excel at developing defenseman, so I have high hopes for him.

Wolf needs no introduction. A typical season for a goalie his age would be stretches where he flashes his potential, but also stretches where he’s very beatable. Nothing is typical though about the level of dominance he’s showed in every other league up to the NHL, so who knows what he shows next season.

If those 3 take steps forward, I think we won’t be nearly as bad as people are hoping for. Not a playoff team, but we’d have to sell a lot of players if we don’t want our pick transferring. If they don’t step up at all from their play last year, we may legitimately be #1 in GA."
"DFF","Aug 6, 2024","Top lottery pick baby"
"Boomstick","Aug 7, 2024","I definitely don't have high expectations, but we do have some hockey players out there, and I'll be watching every game, whether we're good, or not so good.
I'm sure we'll be drafting Top 10 again, wouldn't mind winning a lottery though.
Looking forward to our future core in a few years."
"Khrox","Aug 7, 2024","I mean, I don't cheer for losses, but I'm not mad at them if the team actually tries/plays like they give a shit. Win or lose, I care more about the work ethic, especially going into a rebuild."
"","Aug 7, 2024","The Flames will be as good as you in the 1st goal game"
"","Aug 7, 2024","this. we get that wins will be more rare, so it's more about effort. the team was organically bad and have only moved 2 guys with any term... Mangiapane was moved from a position of strength, and Markstrom was a really good return that would have been foolish to decline.

as for what I predict...

Our goal prevention is gonna be really bad. We were tied for 10th worst in the league last year and that was with Markstrom plaing well and 50-ish games of Tanev, Hanifin and Lindholm; our best D pair and best defensive foryward.... it might get ugly, really ugly"
"","Aug 7, 2024","A year to cheer for individual successes rather than team ones, I imagine.

Stay the course Conroy."
"Bounces R Way","Aug 7, 2024","Probably start pretty well and then fall to pieces I imagine. I'm excited to watch some of the youth progress. Not all that convinced we finish bottom 5 but certainly possible, especially if we see some more vets moved out."
"BobColesNasalCavity","Aug 7, 2024","Continue the disappointment by surprising everyone by their compete and then of course barely miss the playoffs for a 10-15 draft pick."
