"username--style37","u-dt","bbWrapper"
"voyageur","Jul 30, 2024","Yes you are right, thank you for the correction, the majority of Mittlestadt's on ice contributions came against Scheifele...Nate Schmidt was on the ice for 3 of his goals. Scheifele beat him head to head game 1. Does that reinforce that Colorado won because of analytics?"
"WolfHouse","Jul 30, 2024","I'm playing devils advocate a bit... i think they adjusted after game 1 and analytics was part of it. I think the Jets deploy lines that oppose what analytics tells them...

I'd be surprised if analytics doesn't say that pionks game falls off a cliff if he plays too many minutes or that they do say they should play Stan over miller... etc

The Jets lost by ignoring analytics more than avs won with analytics"
"voyageur","Jul 30, 2024","I agree with data analysis...But hockey is in no way predictable. Neal Pionk's name comes up in this discussion...game 4 Pionk plays unprotected minutes against MacKinnon's line on the road, no goals against...Jets get creamed...Next game home matchup Neal Pionk takes 1st penalty, tie game, gets beat by Nikuschkin, down 1, scores on his own net, down 1. But the Jets fought back to tie the game. Schmidt was on the ice for the dagger. Missed his coverage...did analytics predict this, or do a series of events happen in a hockey game that were unpredictable...like bad goals by Hellebuyck...

I'd really like to know the how one can make that assertion that analytics won the series...and that's it for me I don't want to derail your post, because there is more to it than the one paragraph."
"nabby12","Jul 30, 2024","Connor Scheifele Vilardi
Ehlers Lambert Laine
Nino Lowry Perfetti
Barron Namestnikov Appleton

Chibrikov, Kupari, Gus
Iafallo moved in Laine deal.

Morrissey Demelo
Samberg Pionk
Heinola Miller

Salomonsson/Stanley

Helle 
Kahkonen"
"WolfHouse","Jul 30, 2024","Are you sure about these 'unprotected minutes' against MacKinnon - because they matched Jomo with MacKinnon"
"voyageur","Jul 30, 2024","On the road. Can't match."
"Buffdog","Jul 30, 2024","I watched the games and didn't need a single stat to tell me that Pionk was trash and Stanley was too slow to keep up with the Avs"
"DEANYOUNGBLOOD17","Jul 30, 2024","Jets miss the playoffs…..next year 

Why ?

Good year then bad year format/ dance card that the Jets seem to do.

No logical Rhyme or reason to it… So let’s just play the kids and get some draft currency for our expiring UFAs …."
"DEANYOUNGBLOOD17","Jul 30, 2024","Ok Schiefele is bad at Defence argument.

Eye test - yes sometimes he sucks at defence.

Result # 1 centre on team that allowed the least amount of goals last year in the NHL …,

Helly Buck wins v- …..

Maybe that’s why they were signed as a pair ."
"WolfHouse","Jul 30, 2024","Very true. It's also in their original scouting reports... they both became exactly the player they were predicted to be"
"voyageur","Jul 30, 2024","Interesting that heading into final game only 2 d-men were not - players on the Jets...one was Dillon any guesses who the 2nd one was?"
"WolfHouse","Jul 30, 2024","Colin Miller"
"","Jul 30, 2024","I wouldn't put it quite that way. A bit harsh. He is not great, but he is OK away from Scheifele. Those 2 are the anti-chemistry. They bring out the worst in each other.

But considering all factors he is the winger I would be shopping.
He costs more, ATM. He would bring a better return. It would make Scheifele better. His net effect on goals would be easier to replace.

That said though, I like KC. I just want to swap him with Ehlers. By all appearances he is happy in Wpg. Scoring goals is the object of the game and he does it very well. He has shown up in the PO."
"","Jul 30, 2024","Hockey is very predictable - but not on the time scale of individual plays, or even single games. Will analysis tell us which team will win a 7 game series? Not every time, but probably more often than not. Analytics tells us that Pionk is going to make more bad plays than good ones. It does not tell us that ALL of Pionk's play will be bad.

What you are saying seems to be that because analytics doesn't tell us everything, it doesn't tell us anything. What analysis of the data tells us is probabilities, not certainties.

Edit: I don't think it is likely to be accurate to say that analytics won that series for Avs. But it probably played a significant part."
"Buffdog","Jul 30, 2024","Are you using +/- over a 5 game sample size to draw a conclusion?

Even Starsnerds can do better than that"
"","Jul 30, 2024","Yeah I know some do but I definitely don't like ragging on Connor. Great teams can have guys like him whose job is to put the puck in the net but struggle defensively.

Trouble is we are putting two of them on the same line and there appears to be a blind spot somewhere in identifying what even pretty basic stats have shown over the past several years.


Pretty well said. This isn't about blaming Pionk for a series loss, it's about identifying one of the weak spots from our core cotributors over the past several years of hockey."
"","Jul 30, 2024","Unfortunately there is a lot more needed in the middle. Least amount of goals was a big step for our team in consistently sticking to the system. But that got exposed pretty badly in April.

He isn't great defensively and he looks worse than he should because he plays a lot (maybe too many) mins and he has Connor stapled to his hip.

Both guys are amazing players for us to have drafted where we did. They just play better apart than they do together 5 on 5."
"Adam da bomb","Jul 30, 2024","Connor is our only top 6 winger who showed up for the playoffs.
To answer a previously asked question, I don't think the Jets can win with Connor, but, they can't win with any of their wingers."
"cbcwpg","Jul 31, 2024","Getting ready for next season."
"Gil Fisher","Jul 31, 2024","that room is not having any of this analytics presentation"
"Weezeric","Jul 31, 2024","The head coach seems pretty engaged, which is the most important thing. Of course, what can you really take from one still image….."
"Gil Fisher","Jul 31, 2024","wanton speculation is the way to go"
"Buffdog","Jul 31, 2024","Chevy (who used to be a fighter) from the back of the room at the analytics presenter:"
"","Jul 31, 2024","I think they are arguing the merits of waiting in line for Krispy Kreme vs. simply going to Tim Hortons..."
"KingBogo","Jul 31, 2024","Was it said somewhere that this was a presentation on analytics?"
"Buffdog","Jul 31, 2024","Chevy (who used to be a fighter) from the back of the room at the analytics presenter:"
"WolfHouse","Jul 31, 2024","He's telling the Norm McDonald moth joke."
"Gm0ney","Jul 31, 2024","I don't think the Avs were targeting Pionk. 

MacK was dominant in the series no matter who was out there on D for the Jets, so they didn't have to.

Also, I don't think Johnson's comments about using analytics were about targeting individuals. It seemed like he was talking about exploiting the Jets' tendencies. Hard forecheck to fluster the breakouts, screen Hellebuyck, shoot from the point for tips. Once a team gets flustered and frustrated the wheels can fall right off..."
"Zippity","Jul 31, 2024","Selanne commercial"
"AlphaLackey","Jul 31, 2024","With all apologies for beating my favourite drum, at the end of the day, one only needs to look at who wins and who loses on draft fantasy sports websites to see whether or not analytics has value, and whether or not systems based on analytics outperform systems that aren't."
"","Jul 31, 2024","I have a Chevy hockey card from back in the day somewhere, I'll have to check the PIMs. Got a Glen Sather one too."
"hockeyarena","Jul 31, 2024","He's at the cabin on the card isn't he?"
"Buffdog","Jul 31, 2024","He had 250 PIMs plus in junior two yeqrs inna row. I didn't realize he was drafted 16th overall

Tough motherf***er"
"","Jul 31, 2024","Scholastic player of the year as well."
"","Aug 1, 2024","Odd how that was kind of common there for a few years with the tough guys. Baumgartner in 83-84 then Mark Janssens (hell of a fighter) for two seasons in a row until Chevy was scholastic player of the year in the Dub. 

Jets have a smart squad, 

previous Dub winners: 

Chevy, Lowry, Morrissey

CHL overall winners:

Morrissey, Perfetti, Barlow. 

Team Mensa"
