"username--style37","u-dt","bbWrapper"
"ACC1224","Saturday at 8:16 AM",""
"Jojalu","Saturday at 8:41 AM","I had already forgotten Stamkos left TB.

Looks like it will be the same 4 battling it out like every year."
"ACC1224","Saturday at 8:46 AM","I think if Berube can get them to focus a little better, throw away less winnable games, they could win the division."
"BobClarkesfrontteeth","Saturday at 12:14 PM","I think one of Tampa or Boston slips enough to let Buffalo to at least challenge for the last playoff spot in the Atlantic. With Swayman holding out, Lindholm bumping down all the centers without be a number 1C or even a top tier 2C and I am not sure how much Zardov helps as a top 4 dman I can see a big drop coming for Boston."
"Puckstuff","Saturday at 12:24 PM","When was the last time they won the division?

I’m pretty sure they haven’t won the division in the Matthews era which is sort of surprising."
"MilkofthePoppy","Saturday at 12:24 PM","If Boston gets Swayman signed I don't think anybody overtakes them. With the additions of Lindholm and Zadarov I believe they return to the top of the Atlantic. I predict the Leafs finish third behind the Bruins and Panthers, though I hope the Cats suffer from a Stanley Cup hangover. I think the Lightening will demonstrate a slight decline this season."
"LeafalCrusader","Saturday at 12:27 PM","They won the Canadian division then proceeded to choke in their usual spectacular fashion in the playoffs."
"HockeyVirus","Saturday at 1:02 PM","Very easily. What all the contending teams seem to have in common is the ability to seemingly win every game. I think we need to get that level of dominating other teams night in and out and if we find it we can easily make the final 4"
"Phion Keneuf","Saturday at 1:10 PM","This should be the year we win the division"
"WTFMAN99","Saturday at 3:14 PM","Tampa basically looks like Stamkos and Sergachev out for McDonagh and Guentzel in....how much does it change?

I think BOS wins the division, they added Lindholm and Zadorov.

Toronto comes in 2nd

Buffalo takes 3rd

I think Florida might have lost a few too many pieces but could be wrong"
"Evilhomer","Saturday at 3:31 PM","Buffalo will miss the playoffs again."
"HamiltonNHL","Saturday at 3:48 PM","Leafs will play well and then choke when it counts. 

I’m hoping Marner and Tavares play well on PP2."
"","Sunday at 6:24 PM","They're potentially looking at another 3+ years from even sniffing at the post season."
"Jojalu","Sunday at 6:37 PM","Quite possible.

Here is hoping the blind squirrel finds that nut"
"Arzak","Sunday at 6:46 PM","I think we'll take 3rd, but hopefully, Berube can tell them to start on time or something and we'll win Atlantic for the first time?


Florida might still be up there. I can see them battling Bruins who got slightly better for the first place.

Bruins are still missing 1C. It will be interesting to see if they get one or try again next year."
"Evilhomer","Sunday at 7:31 PM","Who knows how long it will be, but they are not a playoff team this season. Nor are Ottawa or Detroit."
"Mr_Fun","Sunday at 8:45 PM","The previous coach let them get away with a few things and these guys took advantage of that. I don't think it was necessarily intentional but I think that may have been the reality, especially based off some of the comments. I think this is where Berube steps in and tightens up the ship a bit. With a little luck (Read: no significant injuries), I think this team has a good shot at winning the division if they come ready to play every night."
"mjd1001","Sunday at 9:39 PM","Its like a broken record, but this MIGHT be the year Ottawa or Buffalo takes a leap forward. Ottawa again had a lot of injuries, and if they can be fairly healthy, with better goaltending, I can't see them not being better. As for Buffalo, they missed the playoffs by 1 point 2 years ago, and last year they were a positive in goal differential (where 90-95% of teams that are positive make the playoffs) all the while their best player (Thompson) played most of the season hurt AND they didn't find their starting goaltender until the calendar turned to 2024 (after that point for more than the 2nd half of the season they allowed the 3rd least number of goals in the league).

At some point, Tampa and/or Boston are going to fall from the top, but also at some point Ottawa and/or Buffalo are going to surprise and actually be good, they both have too much young talent."
"weems","Sunday at 9:59 PM","Florida lost alot of puck moving and offensive ability with Montour and OEL leaving.
Their first pairing is strong with Forsling/Ekblad but the other two pairings are big question marks.
They have made the finals two years in a row and that takes alot out of you, so you could easily see a tired looking team in the regular season."
"Evilhomer","Sunday at 7:38 AM","I think Florida will drop a fair bit. Tampa will also drop again, but their top line will likely continue to carry them to a decent regular season. Boston should be steady, but not really improved over last season. None of Detroit, Buffalo or Ottawa are close enough yet. I think the division finishes Toronto/Boston/Tampa/Florida."
"Sypher04","Sunday at 7:49 AM","Yeah, I don't really see Tampa as having improved much if at all.

Boston I think is overrated. Their year last year was pretty inconsistent. They did not play nearly as well as their record would make you think. Lindholm is a good add, though somewhat offset by losing Debrusk up front. They definitely got softer at forward. There are reports Marchand is going to miss potentially months to start the season. Swayman isn't signed. Zadorov is a luxury add which won't move the needle for them at all imo. They needed forwards, not an overpaid #4.

I also think Florida will take a step back.

Buffalo though, they stink. I'm willing to bet they finish 7th or 8th in the division, behind the usual 4 and both Ottawa and Detroit. Maybe even Montreal.



I think one of Detroit or Ottawa takes the 2nd wildcard and gets in."
"Dekes For Days","Sunday at 8:06 AM","We won our division in 2021, and had some of the best President's Trophy winners through the cap era in our division in 2019, 2020, 2022, and 2023."
"Puckstuff","Sunday at 8:47 AM","I was referring to the Atlantic division but winning the Canadian division was impressive. Winning the Atlantic would be even more impressive."
"Anthrax442","Sunday at 10:23 AM","Every year for tha past 10 years people write off the Bruins, and every year they screw with us."
"Roo","Sunday at 11:08 AM","A well coached team with quality goaltending will do that. If Woll stays healthy and plays to his ability, and Berube gets them bought in and playing the right way, we have a great chance to win the division ."
"rumman","Sunday at 2:42 PM","Both teams will live or die on the performance of their goaltending, I yhonk both will be fine……."
"darrylsittler27","Sunday at 4:00 PM","I wouldnt overlook Detroit. Yzerman could make one really good trade and they are in the playoffs. Also, Ruff back in Buffalo will help them a lot. The whole East wont be fun next year."
"weems","Monday at 7:37 PM","Current odds"
"Jojalu","Monday at 8:16 PM","Vegas seems to over value the Leafs every year. They always have the Leafs at short odds to win the Cup even tho they struggle to get out of the first round.

Bos too. They have had the same struggles as the Leafs over the past 8 years but with a fraction more success in the playoffs"
"Evilhomer","Monday at 8:20 PM","Yes, but that is only because the odds follow the money. Has virtually nothing to do with a team's actual chance of winning."
"notbias","Monday at 8:21 PM","Because they set odds to make money, not on who they think will win.

Setting odds is very complex I am sure so I won't try to understand it outside of that."
"Dekes For Days","Monday at 8:57 PM","When actual money is on the line, logic and reason and information that's actually relevant tends to be prioritized over emotions from past losses."
"Racer88","Monday at 9:07 PM","Wasn’t the idea of the Shanny experiment to become cup winning team. The excuse that we played against good teams but couldn’t beat them is pretty sad.
Isn’t beating good teams the way to the top?
I think we will finish 3rd yet again because we are the third best in our division"
"Racer88","Monday at 9:16 PM","If that actually is the case then they need new odds makers"
"Americanadian","Monday at 9:47 PM","I have Ottawa and Toronto making it pretty soundly and only 3 total teams from the Atlantic making it.

As far as who makes it out of Florida/Boston/Tampa I don't feel confident in any prediction.

Ottawa was buried by bad goaltending last year. They have gone out and fixed that issue. Ullmark is 1 year separated from a Vezina and is a projected 14 point improvement over Korpisalo over 50 starts. Losing Chychrun for Jensen is an upgrade just for the fact that they need more defensive players and they need better left/right balance. Perron and Amadio are good depth adds that should help them win.

We'll see how Swayman does increasing his work load from a career high 44 GP last year to 55ish. Going from Ullmark to Korpisalo will cost them a few points (I have it projected as a 8 point difference over 27 starts). Lindholm is a good add but Debrusk is a big loss up front.

Tampa's bottom 6 is an issue as well as their back up goaltending. If they don't get an actual NHL caliber back up that will cost them the playoffs.

Florida didn't lose a ton but they did lose Stolarz who was the best goalie in the league by goals saved above expected per game. Going from Stolarz as the back up to Knight is a projected 6 point loss over 27 games. Losing Montour, their leading minute eater from the regular season (23:27 TOI) and replacing him with Schmidt (16:49 TOI) and Boqvist (18:47 TOI) will be a struggle during the regular season. Between OEL and Montour they lost 82% of their PP production from the back end last year.

I predict Toronto, Ottawa, Florida make the playoffs from the Atlantic in that order."
