"username--style37","u-dt","bbWrapper"
"Mr Kot","Tuesday at 1:42 PM","Preseason coming up soon and hopefully we have a good one. Excited to see the young guns try to push their way into the lineup and maybe join the main group opening night.





Time to win cup this season"
"TB12","Tuesday at 1:47 PM","Everyone get their narratives and complaints set early!

If Knobber doesn't play the vets very much then he's an idiot and they wasted too much time on developing guys who will never make the team and the top guys didn't get a chance to mesh and gel together.

If Knobber plays the vets lots and they start the year slow (or gasp, someone gets injured) then he's an idiot for running the horses into the ground early. It's a marathon and not a sprint.

etc, etc..."
"K1984","Tuesday at 1:53 PM","Any other season ticket holders struggling with the horrendous Oilers+ free promo login?

They emailed a promo code to access free Oilers+ for the year, but naturally they don't seem to allow you to apply it to an existing account. So I made a new account, but naturally there didn't seem to be a way to apply it there either. 

Does anyone know how to work around this ridiculous system?"
"Drivesaitl","Tuesday at 1:54 PM","Last seasons slow start had little to do with the team meshing. It was the team peaking too early in training, even according to McDavid who felt fatigued and not 100% at seasons start. 

The topline this year will be identically the same. The players knowing each other in their sleep. The Drai line will need time to work together. Big changes there as well as D pairings I guess. 

Last season schedule was odd as well. We played nucks 3X early and that seemed to be their Stanley Cup beating us early in season. Also tough games Florida, Carolina, Tampa etc. 

Most of our troubled start was atrocious goaltending and coaching."
"","Tuesday at 2:02 PM","I had to email my rep to get that issue sorted out last season. Give them an email and they will send you the fix."
"The Panther","Tuesday at 2:13 PM","That's my feeling, too. There was this air about the club one year ago, like, """" Which is fine, but you can't really approach the season with that much intensity in training camp if you don't want to burn out before the playoffs. 

I think MacTavish said the mood a year ago was ""trying to win the Cup in pre-season"".

I suspect this year the big guys will get a bit less ice-time (they're getting older, too), and in the first 9-10 games or whatever it is (before NHL contracts have to be signed with young players) we'll see some of the young'uns getting a fair shot. Even if they play .500 hockey for the first 15 games, they'll still be WAY ahead of where they were a year ago at that stage...

The most fun this season, I predict, will be watching the Draisaitl line (whatever it ultimately is) taking shape. The top six (actually the top nine) looks remarkably promising, so let's hope they can all start scoring at will again... because the defence looks damn suspect."
"94 Oil Drops","Tuesday at 3:08 PM","Well have fun with the pre season peeps. I'll be visiting Quebec and a small part of New England over this pre season, celebrating my 5th wedding anniversary. It'll be nice to not think about hockey much until the regular season actually starts before I overreact and complain like the rest of you. 

I'll check the score boards ever so often and do a creep here and there in HF but I won't be watching any games. Probably wouldn't even if I wasn't on a trip anyways TBH since OEG is hiding them beyond a paywall. I just can't get invested in pre season now that the decade of darkness is over besides. Hopefully Savoie impresses. That's all I ask."
"GreeningOil","Wednesday at 6:30 PM","As an Oiler fan, I too am angry about all decisions, especially in hindsight!!"
"AM","Wednesday at 8:13 PM","Don’t steal them all."
"FlameChampion","Wednesday at 9:25 PM","I think the power play struggles were a huge part of it too. I think Woodcroft was a propped up with a historic powerplay and once it wasn’t… well"
