"u-dt","bbWrapper","username--style37"
"Jan 2, 2024","Thought we should start a thread for our newest team!

Ottawa falls 3-2 in OT to overtime in game 1, but I thought it was a great game. Lots of physical play (great to see them encouraging it unlike in international play), back and forth action, and the crowd seemed very engaged.

I’ll certainly be heading to some games.",""
"Jan 2, 2024","Was certainly a great game. Was very impressed with the production, the Youtube stream, as well as the websites. I think the leagues off to a great start.","WORLDSTARHIPHOP"
"Jan 2, 2024","Kristin O'Neill is a little puck hound with a good motor. She made that happen.

Not the same caliber as watching Team Canada vs Team USA rivalry series but its not bad.","Sens of Anarchy"
"Jan 2, 2024","In typical Ottawa fashion give the puck away and its in the back of the net shortly after. 

Ottawa dominated that game from the looks of it.","Pierre from Orleans"
"Jan 2, 2024","They were the much better team when I was watching. Deeper, faster, better puck possession. Montreals second goal was very lucky. One thing that did stand out to me was that Ottawa had one D man that could not keep up #28. Felt bad for her the discrepancy was massive.


Was pleasantly surprised by the pace seemed very on par with Canada USA games. Just a couple depth players were the difference.","bert"
"Jan 2, 2024","Mrazova the Czech player was really good. Looked like Brady out there","WORLDSTARHIPHOP"
"Jan 2, 2024","Only watched the first two periods but Ottawa was the much better team in those periods. Could be a pretty good team from the looks of it","Emerica"
"Jan 3, 2024","Not having team names and related Merch ready to go prior to XMas was huge Marketing fumble….","Tnuoc Alucard"
"Jan 3, 2024","Stickied",""
"Jan 3, 2024","I believe the alternative was starting the league up next season, rather than magically get things done before xmas. Not sure what the right move was, I guess time will tell.",""
"Jan 3, 2024","Haha it took 4 posts for bert to complain about the small player. You sure do have a type.","Snowwy"
"Jan 3, 2024","The PWHL was announced on August 29th of last year. 

So apparently not enough time to come up with team Names and Merch.



Like I said before, huge marketing fumble","Tnuoc Alucard"
"Jan 3, 2024","The first 2 periods were great, and then we collapsed in typical Ottawa fashion in the 3rd period.","RickyLafleur"
"Jan 3, 2024","There were plenty of small players that were fantastic. I like good players dont care about their size. Boulier couldnt keep up. Cost the team the tying goal as well. Maybe I just pay close attention?.....","bert"
"Jan 3, 2024","Maschmeyer is a good goalie, but last night she wasn't it. Need to make some saves, especially as Montreal was generally on the back foot. Desbiens played much better, which was the reason Montreal wasn't scored on a lot more.","caymanmew"
"Jan 3, 2024","Boy this board sure is impatient first with Staios now this. Which is kinda ironic as its Ottawa which is the slowest city to do anything as its a government town. I was having a discussion with someone today about how they were smart and didnt move forward with name due to the back lash as it was rushed. So overall I disagree, rushing it would have been a huge marketing fumble. Its just going to gain momentum this year it was obviously a huge success last night. Then they can do a big reveal and hype up for next season with new uniforms and merch.","bert"
"Jan 3, 2024","Three months to come up with six team names, and merch, to be ready for the XMas season…… ?","Tnuoc Alucard"
"Jan 3, 2024","3 months to build an entire league, schedule, personnel, agreements with venues, rosters. Travel, meal plans, finding places for these women to live etc etc etc. 

They tried to do team names and realized they are rushing it due to back lash. They are actually doing things right. Much like the current ownership and management with the sens. These things take time.","bert"
